nickname,name,team
HSK,Kim Hae-sung,MVP PK
XigN,Lee Hyun-pyo,MVP PK
ronne,Haron Mustafa,Orange Esports
roseau,Baskoro Dwi Putra,Recca Esports
FrostMisty,Albert Giovanni,Recca Esports
Sys,Agung Frianto,Recca Esports
Eeyore,Kevin Gunawan,Recca Esports
m1rskee,Kennedy Buntoro,Recca Esports
RoLEX,Warittorn Kalanukarn,Signature Gaming
Reality,Manutsawat Sangphadung,Signature Gaming
Geniuss,Kritthee Sawatmuang,Signature Gaming
qqGod,Phoomphat Phojjanart,Signature Gaming
CigaretteS,Patiphan Posri,Signature Gaming
frgd[ibtJ],Richard Permana,Team nxl>
soifong,Vega Tanaka,Team nxl>
klipp,Grant Hadiputra,Team nxl>
ernesto,Marlo Ernesto,Team nxl>
ReDWateR,Jung Chun-heum,Team Yetti
R0gue,Lee Han-geul,Team Yetti
Epoche,Jun Hui-jae,Team Yetti
Pheromone,Seon Ik-joo,Team Yetti
M1shoku,An Si-On,Team Yetti
Tsogoo,Tsog Mashbat,The MongolZ
ncl,Bold Batsuh,The MongolZ
cazze,Telmen Nyamdorj,The MongolZ
cTrl,Unudelger Baasanjargal,The MongolZ
cLb,Nguyễn Vũ Hoàng,Threats
d@rklord,Phùng Hoàng Giang,Threats
crazyguy,Ngô Công Anh,Threats
Zac,Nguyễn Ngọc Thiên An,Threats
Rap,Phan Phú Quốc,Threats
Mo,Ke Liu,TyLoo
DD,Hui Wu,TyLoo
somebody,Haowen Xu,TyLoo
BnTeT,Hansel Ferdinand,TyLoo
xccurate,Kevin Susanto,TyLoo
amtV,ZhiShen Zhang,Wings Gaming
sAncEpt,YongChao Ma,Wings Gaming
blaZeK1ng,Gary Dastin,EXECUTIONERS
Scrin,Prasetya,EXECUTIONERS
WnD,Windi Halim,EXECUTIONERS
kr0^,William Adinata,EXECUTIONERS
Ace,Tejas Sawant,EXECUTIONERS
Mr.mao,YiNan Wang,wNv Teamwork
Soker1,XuHuai Xu,wNv Teamwork
SugarRR,YunLong Chen,wNv Teamwork
SOLA (Trial),BoChuan Lv,wNv Teamwork
18GO,YuChao Liu,wNv Teamwork
VofkiN,Vladimir Shmakov,wNv Teamwork
Reckless,Vadim Dudin,wNv Teamwork
Summer,YuLun Cai,Flash Gaming
Attacker,YuanZhang Sheng,Flash Gaming
kaze,Andrew Khong,Flash Gaming
Ayeon (Trial),Zhe Yang,Flash Gaming
INNOPY (Stand-in),WeiJia Guo,Flash Gaming
konvict,Hadlee Smith,Aperture Gaming
Zeo,Juan Nieuwoudt,Aperture Gaming
kustoM,Jean Herbst,Aperture Gaming
maniaq,Richard Ellis Brown,Aperture Gaming
Spartan,Alexander Lazarides,Aperture Gaming
Detrony,Dimitri Hadjipaschali,Bravado Gaming
Sonic,Aran Groesbeek,Bravado Gaming
ELUSIVE,Ruan van Wyk,Bravado Gaming
JT,Johnny Theodosiou,Bravado Gaming
Fadey,Rhys Armstrong,Bravado Gaming
stYle,Riaan van Niekerk,Damage Control
inciN,Harry Apostoleris,Damage Control
Hellhound,Jannie Van Niekerk,Damage Control
Explicit,Tyrone Lautre,Damage Control
zdrAg (Substitute),Alwyn Kotze,Damage Control
Domsterr,Dominic Sampaio,eNergy eSports
flexeeee,Rieghardt Romatzki,eNergy eSports
kaNibalistic,Trevor Morley,eNergy eSports
takbok,Jan Theron,eNergy eSports
bLacKpoisoN,Robby da Loca,eNergy eSports
